Year,Quarter,Period of coverage,Person level weight used,Breakdown,Level,Employment rate of people with long-term conditions,Employment rate of population ,Indicator value,Long-term condition numerator,Long-term condition denominator,Population numerator,Population denominator
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Lower technical process operative,75.8,86.6,10.8,23600,31200,104600,120900
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Never worked,1.1,1.5,0.4,5700,513500,19400,1324700
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Not classifiable for other reasons,1,2,1,11700,1146200,34900,1708400
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Not classified or inadequately stated,32.4,49.7,17.4,21800,67300,70200,141100
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Own account workers agriculture,*,96.2,*,*,*,76900,80000
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Own account workers non professional,82,89.6,7.6,475000,579100,1964000,2191600
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Routine agricultural,54,70.5,16.5,9800,18100,22700,32200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Routine operative,61.1,74.5,13.4,226000,370000,888600,1192300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Routine production,54.8,70.8,16,51600,94100,218700,308800
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Routine sales and service,55.6,70.8,15.2,83700,150700,410700,580400
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Routine technical,72.1,86.8,14.7,153700,213200,684100,788400
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Semi routine agricultural,57,88.7,31.6,4000,7100,37300,42100
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Semi routine childcare,76.5,81,4.5,32100,42000,115200,142300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Semi routine clerical,69.1,76.8,7.7,70600,102200,268900,350300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Semi routine operative,64.2,84.3,20.1,59000,91800,306100,362900
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Semi routine sales,65.4,74.2,8.7,245200,374700,915200,1234300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Semi routine services,65.7,78.4,12.7,347300,528800,1277100,1630000
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,NS-SEC category,Semi routine technical,71.7,86.5,14.8,45800,63800,230600,266600
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Employers in large organisations,84.3,92.9,8.6,7200,8500,36000,38800
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Employers in small orgs agriculture,88.3,97.9,9.6,3600,4000,21700,22200
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Employers in small orgs non-professional,80.5,88.5,8,82200,102100,318000,359400
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Full-time students,27.6,28.7,1,142800,516600,905300,3156800
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Higher managerial occupations,85.3,90.7,5.4,209000,245000,921400,1015700
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Higher professional new employee,87,91.9,4.9,227300,261100,1101800,1198700
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Higher professional new self emp,94.5,93.3,-1.2,22800,24100,83900,89900
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Higher professional traditional employee,88.7,92.6,3.9,284400,320500,1393200,1504200
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Higher professional traditional self emp,90.3,93.5,3.2,67900,75200,283100,302900
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Higher supervisory occupations,77.4,87.2,9.8,203200,262600,827000,948600
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Intermediate clerical and administrative,72.9,83.1,10.2,423900,581500,1795900,2161600
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Intermediate engineering,77,89.1,12.2,22700,29500,118700,133200
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Intermediate sales and service,77.3,85.1,7.8,235600,305000,1018400,1196700
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Intermediate technical and auxiliary,82,87.5,5.5,107100,130600,359200,410600
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Long-term unemployed,3.9,3.6,-0.3,9200,235100,20400,560700
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Lower managerial occupations,84.1,90,5.9,306900,365000,1306600,1451400
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Lower professional new employee,84.7,89.5,4.8,116800,137900,526000,587600
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Lower professional new self emp,74,85.4,11.4,26600,35900,89800,105100
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Lower professional traditional employee,80,88.5,8.4,814500,1017800,3455500,3906500
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Lower professional traditional self emp,87.1,91.8,4.7,96500,110700,402800,438800
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Lower supervisory occupations,73.4,85.4,12,273300,372600,1016400,1190800
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Lower technical craft,76.7,88,11.3,156000,203400,691700,785600
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Lower technical process operative,85.6,89,3.4,27500,32100,106300,119400
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Never worked,2.1,1.8,-0.3,10300,493800,22000,1209200
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Not classifiable for other reasons,0.6,1.9,1.3,6800,1161700,32900,1709400
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Not classified or inadequately stated,27.8,38.3,10.5,25700,92400,67900,177500
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Own account workers agriculture,93.2,95.9,2.8,16900,18200,73200,76300
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Own account workers non professional,81.8,89.5,7.8,520200,636400,1937900,2164300
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Routine agricultural,56.1,71.8,15.7,6800,12100,23800,33100
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Routine operative,60.3,73.4,13.1,219400,363900,844100,1149900
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Routine production,57.2,72.5,15.3,47500,82900,208900,288100
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Routine sales and service,53.8,69.9,16,75100,139600,365500,523200
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Routine technical,72.8,85.7,12.8,175900,241400,689200,804400
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Semi routine agricultural,58,82.1,24.1,4200,7200,29000,35400
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Semi routine childcare,76.6,83.1,6.5,37100,48400,126000,151700
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Semi routine clerical,71.6,79.9,8.3,69100,96400,264200,330700
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Semi routine operative,63.7,81.7,18,63300,99400,297500,364300
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Semi routine sales,64,74.2,10.3,234700,367100,899000,1211100
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Semi routine services,64.7,77.9,13.2,331100,512000,1256500,1613300
2013,2,01/04/2013 to 30/06/2013,2011 person level weights,NS-SEC category,Semi routine technical,73.8,86.2,12.4,58000,78600,236600,274300
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Employers in large organisations,85.5,90.4,4.9,7100,8300,32700,36200
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Employers in small orgs agriculture,82.6,95.3,12.7,6200,7500,26100,27400
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Employers in small orgs non-professional,83.1,91,8,83200,100200,319500,351000
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Full-time students,26.8,28.5,1.7,144500,538700,891200,3127800
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Higher managerial occupations,84.9,90.3,5.4,224400,264300,896600,993500
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Higher professional new employee,89.2,92,2.8,214000,239900,1095300,1190200
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Higher professional new self emp,84.3,90.5,6.3,21100,25000,72500,80000
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Higher professional traditional employee,88.1,91.8,3.7,297100,337100,1397400,1521800
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Higher professional traditional self emp,92.9,93.8,0.9,79200,85200,282600,301200
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Higher supervisory occupations,78.7,86.4,7.7,233400,296600,888700,1028400
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Intermediate clerical and administrative,74.8,82.6,7.8,464000,620200,1784400,2159600
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Intermediate engineering,80.8,90.2,9.3,21500,26600,113400,125800
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Intermediate sales and service,77.7,85.2,7.5,257900,332000,1002600,1176800
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Intermediate technical and auxiliary,78.6,86.1,7.5,108700,138300,340600,395600
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Long-term unemployed,1.4,2.1,0.7,3300,238400,11400,540900
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Lower managerial occupations,83.5,89.7,6.3,329600,395000,1309300,1459300
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Lower professional new employee,89.7,90.5,0.8,113500,126600,514400,568300
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Lower professional new self emp,90.1,94,3.9,20700,23000,95000,101000
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Lower professional traditional employee,81.8,88.5,6.7,870900,1065000,3469700,3922400
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Lower professional traditional self emp,88.6,90.9,2.3,106000,119700,399300,439500
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Lower supervisory occupations,74.8,83.8,9,293500,392500,1011800,1207400
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Lower technical craft,77.3,88.5,11.1,175800,227300,706500,798600
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Lower technical process operative,80,86.8,6.8,31700,39600,112200,129200
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Never worked,2.1,2.1,0,9900,477100,24500,1157500
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Not classifiable for other reasons,0.2,1.7,1.4,2800,1178700,28200,1703300
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Not classified or inadequately stated,11.3,21.5,10.2,13300,117800,47100,218900
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Own account workers agriculture,95.6,96.2,0.5,25300,26500,76100,79200
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Own account workers non professional,82.1,89.4,7.3,536300,653200,1936000,2165200
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Routine agricultural,63.8,67.1,3.2,7700,12100,21000,31300
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Routine operative,58.7,72.7,14,229600,391200,837500,1152200
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Routine production,59.5,70.9,11.4,58500,98400,210300,296600
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Routine sales and service,57.3,70.9,13.6,86100,150100,396700,559100
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Routine technical,70.4,82.9,12.5,181500,257700,661600,798300
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Semi routine agricultural,47.2,70.7,23.4,4900,10400,30800,43600
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Semi routine childcare,73.9,81,7.1,35000,47300,106800,131800
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Semi routine clerical,70.7,79.9,9.2,64400,91200,257400,322200
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Semi routine operative,69.9,82.2,12.2,71000,101500,298700,363400
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Semi routine sales,65.2,74.7,9.5,237600,364600,889500,1191100
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Semi routine services,68.1,78.3,10.2,375600,552000,1246300,1591900
2013,1,01/01/2013 to 31/03/2013,2011 person level weights,NS-SEC category,Semi routine technical,74.9,87,12.2,66800,89300,258300,296700
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Employers in large organisations,94.9,95.6,0.8,10400,11000,37300,39000
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Employers in small orgs agriculture,87.5,96.4,9,8600,9900,33300,34500
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Employers in small orgs non-professional,82.6,91.1,8.5,84900,102800,324200,356000
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Full-time students,27,29.9,2.9,134200,497100,870900,2916000
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Higher managerial occupations,82.5,88.9,6.4,202900,246000,869600,978100
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Higher professional new employee,88,92,4,226900,257800,1096800,1192100
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Higher professional new self emp,87.6,87.5,-0.2,22200,25300,69800,79800
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Higher professional traditional employee,85.4,91.5,6.1,288300,337500,1364300,1491000
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Higher professional traditional self emp,86.3,92.6,6.3,60900,70600,279600,301900
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Higher supervisory occupations,78.4,87.1,8.8,242400,309400,928200,1065200
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Intermediate clerical and administrative,74.1,81.9,7.8,462100,623700,1772400,2163300
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Intermediate engineering,84.7,92,7.4,28800,34100,104500,113600
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Intermediate sales and service,76.7,85.2,8.5,260900,340300,1047200,1229600
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Intermediate technical and auxiliary,77.5,86.4,8.9,99100,127900,344200,398600
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Long-term unemployed,2.5,2.4,-0.1,5500,220600,12500,512900
2012,4,01/10/2012 to 31/12/2012,2011 person level weights,NS-SEC category,Lower managerial occupations,83.9,89.7,5.8,322000,383800,1272400,1418400
